"filename", "language", "TypeScript", "Less", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/trac.css", "CSS", 0, 0, 0, -134, 0, -10, -24, -168
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/vim.css", "CSS", 0, 0, 0, -127, 0, -5, -13, -145
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/vs.css", "CSS", 0, 0, 0, -97, 0, -5, -12, -114
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/xcode.css", "CSS", 0, 0, 0, -148, 0, -6, -21, -175
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/yul.min.js", "JavaScript", 0, 0, -30, 0, 0, 0, 0, -30
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/i18n/en_US.js", "JavaScript", 0, 0, -85, 0, 0, 0, -1, -86
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/i18n/ja_JP.js", "JavaScript", 0, 0, -85, 0, 0, 0, -1, -86
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/i18n/ko_KR.js", "JavaScript", 0, 0, -85, 0, 0, 0, -1, -86
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/i18n/ru_RU.js", "JavaScript", 0, 0, -85, 0, 0, 0, -1, -86
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/i18n/zh_CN.js", "JavaScript", 0, 0, -85, 0, 0, 0, -1, -86
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/i18n/zh_TW.js", "JavaScript", 0, 0, -85, 0, 0, 0, -1, -86
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/icons/ant.js", "JavaScript", 0, 0, -174, 0, 0, 0, -1, -175
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/icons/material.js", "JavaScript", 0, 0, -195, 0, 0, 0, -1, -196
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/katex/katex.min.css", "CSS", 0, 0, 0, -1, 0, 0, -1, -2
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/katex/katex.min.js", "JavaScript", 0, 0, -1, 0, 0, -1, -1, -3
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/katex/mhchem.min.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/lute/lute.min.js", "JavaScript", 0, 0, -59, 0, 0, 0, -5, -64
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/a11y/assistive-mml.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/a11y/complexity.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/a11y/explorer.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/a11y/semantic-enrich.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/asciimath.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/mml.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/mml/entities.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex-base.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex-full.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/action.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/all-packages.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/input/tex/extensions/ams.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
