Date : 2022-11-08 13:26:34
Directory : /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/wysiwyg
Total : 96 files,  -8379 codes, -341 comments, -766 blanks, all -9486 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/toolbar/MenuItem.ts                | TypeScript |        -68 |         -1 |         -5 |        -74 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/toolbar/Outdent.ts                 | TypeScript |        -23 |          0 |         -2 |        -25 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/toolbar/Outline.ts                 | TypeScript |        -20 |          0 |         -2 |        -22 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/toolbar/Preview.ts                 | TypeScript |        -52 |          0 |         -4 |        -56 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/toolbar/Record.ts                  | TypeScript |        -54 |         -2 |         -5 |        -61 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/toolbar/Redo.ts                    | TypeScript |        -17 |          0 |         -2 |        -19 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/toolbar/Undo.ts                    | TypeScript |        -17 |          0 |         -2 |        -19 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/toolbar/Upload.ts                  | TypeScript |        -39 |          0 |         -3 |        -42 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/toolbar/index.ts                   | TypeScript |       -166 |          0 |        -10 |       -176 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/toolbar/setToolbar.ts              | TypeScript |       -164 |         -6 |         -9 |       -179 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/ui/initUI.ts                       | TypeScript |       -188 |         -5 |        -31 |       -224 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/ui/setCodeTheme.ts                 | TypeScript |        -15 |          0 |         -2 |        -17 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/ui/setContentTheme.ts              | TypeScript |        -14 |          0 |         -2 |        -16 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/ui/setPreviewMode.ts               | TypeScript |        -26 |          0 |         -6 |        -32 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/ui/setTheme.ts                     | TypeScript |         -7 |          0 |         -1 |         -8 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/undo/index.ts                      | TypeScript |       -225 |        -10 |        -24 |       -259 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/upload/getElement.ts               | TypeScript |        -10 |          0 |         -1 |        -11 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/upload/index.ts                    | TypeScript |       -230 |         -1 |        -30 |       -261 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/upload/setHeaders.ts               | TypeScript |        -10 |          0 |         -1 |        -11 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/Options.ts                    | TypeScript |       -423 |         -4 |         -8 |       -435 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/RecordMedia.ts                | TypeScript |       -123 |        -20 |        -28 |       -171 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/addScript.ts                  | TypeScript |         -9 |        -37 |          0 |        -46 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/addStyle.ts                   | TypeScript |        -10 |          0 |         -1 |        -11 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/code160to32.ts                | TypeScript |         -3 |         -1 |         -1 |         -5 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/compatibility.ts              | TypeScript |        -57 |         -5 |         -6 |        -68 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/editorCommonEvent.ts          | TypeScript |       -224 |        -12 |        -19 |       -255 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/fixBrowserBehavior.ts         | TypeScript |     -1,326 |        -76 |        -90 |     -1,492 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/getSelectText.ts              | TypeScript |         -7 |          0 |         -2 |         -9 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/hasClosest.ts                 | TypeScript |       -164 |         -6 |        -13 |       -183 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/hasClosestByHeadings.ts       | TypeScript |        -25 |         -1 |         -2 |        -28 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/highlightToolbar.ts           | TypeScript |         -9 |          0 |         -2 |        -11 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/hotKey.ts                     | TypeScript |        -44 |         -5 |         -6 |        -55 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/log.ts                        | TypeScript |         -5 |         -1 |         -1 |         -7 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/merge.ts                      | TypeScript |        -18 |          0 |         -1 |        -19 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/processCode.ts                | TypeScript |        -82 |         -4 |         -5 |        -91 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/selection.ts                  | TypeScript |       -242 |        -13 |        -21 |       -276 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/toc.ts                        | TypeScript |        -77 |         -3 |         -4 |        -84 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/wysiwyg/afterRenderEvent.ts        | TypeScript |          3 |          1 |          0 |          4 |
| /Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/wysiwyg/highlightToolbarWYSIWYG.ts | TypeScript |        206 |          5 |          1 |        212 |
| Total                                                                                          |            |     -8,379 |       -341 |       -766 |     -9,486 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
